Category,Metric / Parameter,Level 0: Stock Baseline (Unpatched) (Cold),Level 0: Stock Baseline (Unpatched) (Warm),Level 1: +CL1 945890639 (Cold),Level 1: +CL1 945890639 (Warm),Level 2: +CL1-2 945890638 (Cold),Level 2: +CL1-2 945890638 (Warm),Level 3: +CL1-3 945923240 (Cold),Level 3: +CL1-3 945923240 (Warm),Level 4: +CL1-4 946059593 (Cold),Level 4: +CL1-4 946059593 (Warm),Level 5: +CL1-5 947247005 (Cold),Level 5: +CL1-5 947247005 (Warm),Level 6: +CL1-6 951055332 (Cold),Level 6: +CL1-6 951055332 (Warm),Level 7: +CL1-7 952358063 (Cold),Level 7: +CL1-7 952358063 (Warm),7-CL Ablation Progressive Gain Summary (Level 0 -> Level 7)
Fleet Configuration,Concurrency Limit (MAX_CONCURRENT),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 concurrent sandboxes (Consistent)
Fleet Configuration,Warmpool Window Size,20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows),20 tasks/window (25 windows)
Fleet Configuration,Replicas per Image (MAX_WARMPOOL_SIZE),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 replica/image (Consistent)
Execution Results,Tasks Status,499ok/1err,500ok/0err,496ok/4err,Failed (K8s API 500),494ok/6err,492ok/8err,Failed (Pool Ready Timeout),496ok/4err,500ok/0err,500ok/0err,500ok/0err,500ok/0err,500ok/0err,500ok/0err,500ok/0err,500ok/0err,500ok/0err (100% Success from Level 4 to Level 7)
Execution Results,End-to-End Wall Time (TOTAL),567.73s,366.11s,516.70s,N/A,631.60s,478.20s,N/A,561.44s,536.69s,369.75s,529.63s,364.68s,503.12s,343.11s,474.52s,355.89s,Cold: 567.73s -> 474.52s (-16.4% / -93.2s) | Warm: 366.11s -> 343.11s (-6.3%)
Phase Breakdown (Summed),preflight (Total),0.72s,0.76s,0.76s,N/A,0.79s,0.77s,N/A,0.79s,0.81s,0.76s,0.75s,0.77s,0.84s,0.79s,0.75s,0.80s,0.72s -> 0.80s (Flat baseline ~0.75s)
Phase Breakdown (Summed),create_warmpool (Total),224.91s,145.68s,144.23s,N/A,204.72s,148.54s,N/A,138.44s,142.59s,152.95s,148.72s,162.78s,142.73s,143.27s,141.51s,143.31s,224.91s -> 141.51s (-37.1% / -83.4s Speedup)
Phase Breakdown (Summed),wait_pool_ready (Total Cold Pull),5501.66s,3440.74s,4849.62s,N/A,5079.57s,3475.65s,N/A,5430.05s,5569.83s,3667.33s,5194.70s,3232.10s,5307.44s,3252.69s,4788.47s,3397.19s,5501.66s -> 4788.47s (-13.0% / -713.2s Pull Speedup)
Phase Breakdown (Summed),prefetch (Background Pre-pull),539.67s,352.21s,463.39s,N/A,527.59s,359.89s,N/A,496.73s,514.99s,356.87s,508.40s,352.13s,482.67s,325.32s,454.31s,343.06s,539.67s -> 454.31s (-15.8% / -85.4s Efficiency Gain)
Phase Breakdown (Summed),claim (Sandbox Claim Total),362.82s,322.21s,381.87s,N/A,441.05s,503.54s,N/A,413.81s,302.41s,322.46s,329.43s,307.03s,342.23s,328.37s,312.35s,310.33s,362.82s -> 310.33s (-14.5% / -52.5s Claim Latency Reduction)
Phase Breakdown (Summed),process (SWE-bench Probe Workload),361.81s,321.65s,412.15s,N/A,451.77s,487.57s,N/A,422.65s,336.51s,325.28s,348.52s,340.88s,327.80s,325.07s,343.30s,329.69s,361.81s -> 329.69s (-8.9% Workload Execution Speedup)
Phase Breakdown (Summed),release (Claim Release Total),53.81s,54.70s,94.80s,N/A,53.15s,77.21s,N/A,53.58s,50.28s,52.36s,50.63s,52.32s,53.24s,52.89s,54.99s,52.77s,53.81s -> 52.77s (-1.9% Teardown Latency Drop)
Phase Breakdown (Summed),teardown,0.21s,0.20s,0.21s,N/A,0.20s,0.20s,N/A,0.20s,0.20s,0.20s,0.20s,0.21s,0.20s,0.23s,0.22s,0.20s,0.21s -> 0.20s (Sub-second flat)
Peak Resource Metrics,Peak Concurrent Warm Replicas,40,35,40,N/A,40,40,N/A,40,36,35,35,35,39,35,35,35,35 ~ 40 Replicas (Bounded Peak)
Node Storage Peak,Avg Disk Used per Node,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB,130 GB / 292 GB (Zero Storage Bloat)
Peak Resource Metrics,CPU CFS Throttling Ratio (%),0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4% Throttling (Constant Low)
SWE-Bench Image Distribution,SWE-bench Instances per Node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node,1200 ~ 1380 instances per node
Containerd Total Images,Total Local Images per Node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node,35 ~ 42 active local cached layers per node
